"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$305,100,781,852","2.53%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$280,228,417,286","2.29%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$248,818,120,000","2.16%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$247,698,923,815","1.68%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$242,024,141,283","0.00%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$237,077,086,772","6.03%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$227,515,409,368","8.83%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$223,832,080,278","0.00%","USA","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$217,065,492,236","1.24%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$215,896,514,968","3.23%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$215,098,108,792","0.76%","USA","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$201,258,365,857","7.18%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$197,338,035,704","4.98%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$196,249,306,440","1.43%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$196,145,503,403","2.74%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$195,653,020,969","1.49%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$195,325,050,000","0.00%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$192,154,569,172","3.12%","USA","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$190,450,340,267","4.41%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$186,906,364,243","4.50%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$184,333,496,414","3.37%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$181,975,850,514","0.19%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$180,825,304,576","3.04%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$171,386,059,750","1.29%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$160,940,632,114","2.18%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$159,597,838,730","0.32%","USA","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$158,655,371,389","1.92%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$155,677,440,000","1.86%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$155,578,539,497","2.41%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$153,540,721,984","2.16%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$152,181,360,208","0.00%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$147,988,144,174","1.89%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$146,379,043,268","1.72%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$145,493,074,517","0.83%","USA","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$143,837,080,072","2.92%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$143,676,629,426","1.76%","USA","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$140,195,285,676","1.85%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$139,488,228,000","2.49%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$137,273,912,624","2.97%","USA","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$132,805,680,314","1.51%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$132,492,429,390","5.45%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$130,350,956,979","2.88%","USA","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$130,089,919,340","0.92%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$126,206,560,000","1.59%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$119,885,299,917","1.12%","USA","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$119,470,462,160","1.41%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$119,351,852,241","0.00%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$117,687,476,260","1.90%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$114,437,185,829","1.50%","USA","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$113,807,887,160","0.31%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$113,459,432,266","2.52%","USA","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$112,178,265,465","1.23%","USA","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$110,154,975,099","0.86%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$110,097,575,536","0.56%","USA","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$109,333,155,959","2.01%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$107,825,147,760","0.75%","USA","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$107,717,730,000","0.00%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$107,526,176,850","5.31%","USA","Analyze"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$107,185,000,000","0.00%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$106,620,552,512","0.00%","USA","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$104,699,693,096","0.53%","USA","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$102,564,401,000","3.28%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$101,904,987,157","0.00%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$101,899,786,206","0.00%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$96,389,926,556","0.00%","USA","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$94,840,220,702","2.92%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$93,467,709,716","0.00%","USA","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$92,791,914,290","2.15%","USA","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$92,315,949,157","0.96%","USA","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$90,404,808,598","2.87%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$88,288,723,500","0.00%","USA","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$86,879,132,232","1.55%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$86,293,402,233","1.00%","USA","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$83,120,601,327","7.38%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$81,937,911,488","0.85%","USA","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$80,138,658,000","0.83%","USA","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$79,493,790,825","0.39%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$79,177,934,760","4.25%","USA","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$78,541,373,090","3.05%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$77,967,792,690","0.70%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$77,443,118,571","0.00%","USA","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$77,233,628,973","0.02%","USA","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$76,327,307,034","1.21%","USA","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$76,083,195,035","3.27%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$75,802,309,527","2.22%","USA","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$75,462,196,495","1.83%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$74,957,446,114","0.42%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$74,863,862,087","2.07%","USA","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$74,624,878,880","0.54%","USA","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$74,184,470,222","1.61%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$73,393,706,960","2.62%","USA","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$73,277,055,000","2.32%","USA","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$71,108,746,597","1.30%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$70,825,531,528","3.20%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$70,272,466,145","1.15%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$68,812,325,683","1.00%","USA","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$67,058,210,719","4.33%","USA","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$66,059,724,324","3.18%","USA","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$65,390,757,310","2.12%","USA","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$65,116,672,249","1.48%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$64,343,359,000","0.00%","USA","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$63,998,597,175","2.31%","USA","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$63,773,062,175","1.05%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Large cap","Information Technology","$63,151,248,932","0.00%","USA","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$61,796,617,012","0.82%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$61,115,000,294","0.00%","United Kingdom","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$61,111,662,882","0.00%","USA","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$61,103,736,638","4.36%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$60,566,500,150","0.04%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$60,468,699,692","0.89%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Large cap","Information Technology","$59,882,040,000","0.00%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$59,668,691,544","0.39%","USA","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$58,929,313,614","1.59%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$58,861,798,702","2.72%","Peru","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$58,859,652,740","2.00%","USA","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$58,799,893,791","0.00%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$58,690,172,333","0.00%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$58,415,940,000","0.00%","Luxembourg","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$57,148,696,713","1.69%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$56,916,615,453","1.64%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$56,697,367,920","0.81%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$56,234,240,172","3.56%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$55,127,130,748","0.00%","USA","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$54,929,342,803","0.00%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$53,883,488,362","0.00%","USA","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$53,400,442,000","2.16%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$52,599,423,000","0.82%","USA","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$52,580,600,157","2.27%","USA","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$52,548,139,975","0.58%","USA","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$52,144,178,129","52.89%","USA","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$51,948,397,515","5.52%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$51,309,342,090","0.14%","USA","Analyze"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$50,168,743,199","0.00%","USA","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$49,812,118,772","1.93%","USA","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$49,779,053,746","0.65%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$49,611,598,823","1.22%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Large cap","Communication Services","$49,461,230,826","0.00%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$49,043,428,910","1.25%","USA","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$48,379,076,545","1.89%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$48,321,487,643","0.32%","USA","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$48,000,861,375","2.60%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$47,888,993,085","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$47,735,408,373","1.14%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$46,665,760,349","4.41%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$45,884,545,688","0.00%","USA","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$45,692,668,410","0.77%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$45,648,918,878","4.21%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$45,457,847,866","1.82%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$45,230,546,578","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$44,632,800,000","0.00%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$44,568,340,921","0.00%","USA","Analyze"
"DISCK","Discovery Communications, Inc. - Series C","Common stocks","Large cap","Communication Services","$44,149,033,550","0.00%","USA","Analyze"
"DISCA","Discovery Communications Inc Series A","Common stocks","Large cap","Communication Services","$44,149,033,550","0.00%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$43,692,933,506","3.28%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$43,391,273,558","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$43,308,650,296","2.41%","USA","Analyze"
"VIACA","ViacomCBS Inc. - Class A","Common stocks","Large cap","Communication Services","$42,412,966,072","1.38%","USA","Analyze"
"VIAC","ViacomCBS Inc. - Class B","Common stocks","Large cap","Communication Services","$42,412,966,072","1.38%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$42,214,883,656","1.02%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$41,934,319,319","0.24%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$41,816,984,224","0.00%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$41,640,612,925","0.14%","Ireland","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$41,528,537,992","0.00%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$41,339,573,466","1.79%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$41,107,797,010","0.00%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$41,020,887,540","1.28%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$40,990,135,164","3.86%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$40,983,554,749","3.37%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$40,952,059,557","0.98%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$40,848,269,639","2.23%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Industrials","$39,991,431,021","0.55%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$39,769,538,637","1.20%","USA","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$39,745,779,147","2.75%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$39,722,650,552","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$39,656,154,100","0.00%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$39,352,993,014","0.25%","USA","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$39,347,165,450","1.77%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$39,269,736,242","1.64%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$39,236,470,486","1.26%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","Common stocks","Large cap","Health Care","$39,179,657,213","0.00%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$39,080,838,882","1.82%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$38,778,604,261","1.15%","USA","Analyze"
"INFO","IHS Markit Ltd","Common stocks","Large cap","Industrials","$38,683,089,912","1.54%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$38,671,052,642","2.10%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$38,654,383,020","0.58%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Large cap","Communication Services","$38,383,783,505","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Large cap","Communication Services","$38,383,783,505","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$38,379,838,879","2.89%","USA","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$38,312,854,153","2.81%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$38,204,152,405","1.18%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$38,048,406,245","2.05%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$37,965,390,631","3.72%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$37,938,875,395","0.59%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$37,768,735,665","0.00%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$37,709,883,192","1.33%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$37,692,870,333","0.00%","USA","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$37,622,337,491","2.30%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$37,610,204,618","2.24%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$37,447,816,477","2.38%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$36,961,194,709","0.00%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$36,735,258,795","3.37%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$36,686,144,699","3.43%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$36,490,929,397","4.10%","USA","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$36,052,903,008","2.88%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$35,962,259,331","1.04%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$35,935,551,220","4.29%","USA","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$35,442,527,637","3.52%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$35,340,940,000","4.89%","USA","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$34,583,086,235","0.72%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$34,492,769,026","0.12%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$34,488,061,580","0.00%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$34,395,412,208","0.00%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$34,170,553,820","6.76%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$34,147,064,772","0.31%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$34,112,806,010","2.19%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$34,063,158,360","1.13%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Information Technology","$33,989,949,463","0.00%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$33,728,394,023","0.97%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$33,728,394,023","1.04%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$33,671,813,452","3.59%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$33,504,228,690","0.59%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$33,492,875,717","2.39%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$33,464,484,839","1.46%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$33,332,767,118","1.50%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$33,228,555,451","2.66%","USA","Analyze"
"ALXN","Alexion Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$33,058,537,745","0.00%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$32,674,509,708","1.68%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$32,635,611,817","21.63%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$32,282,576,242","0.75%","USA","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$32,194,950,400","2.33%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$32,132,194,000","0.50%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$32,036,215,425","2.50%","USA","Analyze"
